Time,Red_light,IR_light,HR,HRvalid,SpO2,SpO2Valid
1741385410.7545636,195422.0,250508.0,16.0,1.0,84.0,1.0
1741385410.8744605,195496.0,250594.0,16.0,1.0,84.0,1.0
1741385410.9588606,195497.0,250436.0,16.0,1.0,84.0,1.0
1741385411.0748231,195458.0,250493.0,16.0,1.0,84.0,1.0
1741385411.1571376,195628.0,250536.0,16.0,1.0,84.0,1.0
1741385411.2761703,195548.0,250496.0,16.0,1.0,84.0,1.0
1741385411.3571475,195647.0,250590.0,16.0,1.0,84.0,1.0
1741385411.4767566,195442.0,250449.0,16.0,1.0,84.0,1.0
1741385411.5616107,195380.0,250481.0,16.0,1.0,84.0,1.0
1741385411.6775737,195341.0,250466.0,214.0,1.0,14.0,1.0
1741385411.7590384,195261.0,250454.0,214.0,1.0,14.0,1.0
1741385411.8773901,195218.0,250419.0,214.0,1.0,14.0,1.0
1741385411.959416,195264.0,250365.0,214.0,1.0,14.0,1.0
1741385412.0795593,195311.0,250390.0,214.0,1.0,14.0,1.0
1741385412.1560502,195247.0,250308.0,214.0,1.0,14.0,1.0
1741385412.2882352,195174.0,250164.0,214.0,1.0,14.0,1.0
1741385412.363706,195112.0,250063.0,214.0,1.0,14.0,1.0
1741385412.480982,195029.0,250040.0,214.0,1.0,14.0,1.0
1741385412.5584564,195006.0,250055.0,214.0,1.0,14.0,1.0
1741385412.6801915,194985.0,250135.0,214.0,1.0,14.0,1.0
1741385412.7635436,194941.0,250078.0,214.0,1.0,14.0,1.0
1741385412.881605,194946.0,250191.0,214.0,1.0,14.0,1.0
1741385412.9593594,194918.0,250191.0,214.0,1.0,14.0,1.0
1741385413.0783257,194994.0,250131.0,214.0,1.0,14.0,1.0
1741385413.1625602,194948.0,250066.0,214.0,1.0,14.0,1.0
1741385413.2825422,194857.0,250073.0,214.0,1.0,14.0,1.0
1741385413.3598847,194792.0,250054.0,214.0,1.0,14.0,1.0
1741385413.4792325,194870.0,250049.0,214.0,1.0,14.0,1.0
1741385413.5609822,194923.0,250066.0,214.0,1.0,14.0,1.0
1741385413.6795094,195057.0,250062.0,214.0,1.0,14.0,1.0
1741385413.7639325,195212.0,250025.0,214.0,1.0,14.0,1.0
1741385413.8832948,195134.0,249987.0,214.0,1.0,14.0,1.0
1741385413.9590173,195112.0,249953.0,214.0,1.0,14.0,1.0
1741385414.087992,195066.0,249946.0,214.0,1.0,14.0,1.0
1741385414.1641002,194988.0,249880.0,136.0,1.0,60.0,1.0
