Time,Red_light,IR_light,SpO2,SpO2Valid
1743810555.255126,1384.0,997.0,-999.0,0.0
1743810555.3423662,1386.0,980.0,-999.0,0.0
1743810555.460223,1379.0,996.0,-999.0,0.0
1743810555.5424907,1385.0,995.0,-999.0,0.0
1743810555.6569877,1377.0,993.0,-999.0,0.0
1743810555.7457316,1377.0,997.0,-999.0,0.0
1743810555.8652415,1371.0,991.0,-999.0,0.0
1743810555.9452462,1377.0,999.0,-999.0,0.0
1743810556.0692341,1370.0,983.0,-999.0,0.0
1743810556.1475585,1369.0,990.0,-999.0,0.0
1743810556.2593534,1382.0,993.0,-999.0,0.0
1743810556.3415158,1382.0,986.0,-999.0,0.0
1743810556.4658906,1378.0,993.0,-999.0,0.0
1743810556.541038,1379.0,997.0,-999.0,0.0
